id,title,price,email,discount_price,slug,category,label,sold_or_rent,picture_count,area,owner_name,phone_number,rooms,bathrooms,floors,Description,location,date,have_parking,have_garden,have_drinage,have_balcony,have_hallRoom,have_diningRoom,have_elevator,have_water,have_electricityBackup,have_securityStaff,have_lift,have_kidsPlayground,have_electricityPole,have_road,have_waterSupply,image,user_id,area_face,built_date,Latitude,Longitude,AP_have_electricity,Ap_have_dining_room,Ap_have_drinage,Ap_have_kids_playground,Ap_have_lift,Ap_have_parking,Ap_have_water_supply,La_have_drinage,La_have_electricity,La_have_road,La_have_water,address
54,"House For Sale In Baluwatar, Kathmandu",price,,,,Error fetching category,Active,SOLD,,1137,,9845900495,11,1,5,tegesr,Kathmandu,2073,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,static/images/sadish_gautam_eFZa88i.jpg,7,North,,85.3015236162818,27.6924949820292,0,0,0,0,0,0,0,0,0,0,0,"Budhanikantha, Budhanilkantha, Kathmandu"
55,"Sale Of Attractive House And Land : House For Sale In Naikap, Kathmandu",90000000,,,,House,Active,SOLD,,1137,,9845900495,4,1,137,TFHUVIHBIBIJB,Kathmandu,2073,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,static/images/IMG_0145.JPG,7,North,,85.3015236162818,27.6924949820292,0,0,0,0,0,0,0,0,0,0,0,"Pasikot, Budhanilkantha, Kathmandu"
56,"Brand New Never Used House For Sale At Rose Village Balkot : House For Sale In Balkot, Bhaktapur",80000000,,,,House,Active,SOLD,,1137,,9845900495,33333,3333,333,eferf,Kathmandu,2071,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,static/images/IMG_20201210_184014_9fpEai8.jpg,7,North,,85.3015236162818,27.6924949820292,0,0,0,0,0,0,0,0,0,0,0,"Dhapasi, Dhapasi, Kathmandu"
57,"House On Sale : House For Sale In Naya Bazar, Kathmandu",70000000,,,,House,Active,SOLD,,220,,9845900495,55555,4444,44545,ermber/gjklergjke,Kathmandu,2017,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,static/images/1603629571592_6reWLZe.jpg,7,North,,85.3015236162818,27.6924949820292,0,0,0,0,0,0,0,0,0,0,0,"baluwatar, Baluwatar, Kathmandu"
58,"Commercial House Sale In Satungal : House For Sale In Satungal, Kathmandu",130000000,,,,House,Active,SOLD,,220,,9845900495,55555,4444,44545,ermber/gjklergjke,Kathmandu,2070,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,static/images/sadish_gautam_c7lhxpl.jpg,7,North,,85.3015236162818,27.6924949820292,0,0,0,0,0,0,0,0,0,0,0,"Golfutar, Golfutar, Kathmandu"
59,"Flat House On Sale, 500 Meter Far From Main Road. : House For Sale In Budhanilkantha, Kathmandu",100000000,,,,House,Active,SOLD,,220,,9845900495,55555,4444,44545,ermber/gjklergjke,Kathmandu,2074,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,static/images/Sadish_Gautam_1oOfl3o.jpg,7,North,,85.3015236162818,27.6924949820292,0,0,0,0,0,0,0,0,0,0,0,"Banasthali, Banasthali, Kathmandu"
60,"House For Sale In Tarkeshwor, Kathmandu",100000000,,,,L,Active,SOLD,,220,,9845900495,33,33,33,Finally succed,Lalitpur,2019,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,static/images/IMG_0145_aPbA6M0.JPG,7,North,,85.3015236162818,27.6924949820292,0,0,0,0,0,0,0,0,0,0,0,"Dadathok, Lubhu, Lalitpur"
61,"House With 4 Ropani, Only Land Cost -Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu",11000000,,,,H,Active,SOLD,,4343,,9845900495,4343,34,43,This is house,Kathmandu,2073,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,static/images/sadish_gautam_52OtBJG.png,7,,,85.3015236162818,27.6924949820292,0,0,0,0,0,0,0,0,0,0,0,"Hepali, Budhanilkantha, Kathmandu"
62,"Modern House For Sale -Baluwatar : House For Sale In Baluwatar, Kathmandu",50000000,,,,A,Active,SOLD,,666,,9845900495,888,66,66,This is desc,Kathmandu,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,static/images/Sadish_Gautam-removebg-preview_2_E8t4spM.png,7,,,85.3015236162818,27.6924949820292,0,0,0,0,0,0,0,0,0,0,0,"baluwatar, Baluwatar, Kathmandu"
63,"House For Sale -Nakkhudol Bhaisepati : House For Sale In Nakhundol, Lalitpur",100000000,,,,A,Active,SOLD,,666,,9845900495,888,66,66,This is desc,Kathmandu,2065,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,static/images/Sadish_Gautam-removebg-preview_2_eMZ6sKA.png,7,,,85.3015236162818,27.6924949820292,0,0,0,0,0,0,0,0,0,0,0,"Nearby Nilo Pool, Sukedhara, Kathmandu"
